CountryCode,subset,question_code,question_label,answer,percentage,CountryCode_encoded,subset_Bisexual women,subset_Gay,subset_Lesbian,subset_Transgender,question_code_encoded,question_label_encoded,answer_encoded,_record_id
Cyprus,Gay,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very rare,7,5,False,True,False,False,0,21,53,83
Cyprus,Gay,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Don`t know,5,5,False,True,False,False,0,21,23,84
Cyprus,Bisexual women,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very widespread,:,5,True,False,False,False,0,21,54,85
Cyprus,Bisexual women,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly widespread,:,5,True,False,False,False,0,21,26,86
Cyprus,Bisexual women,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly rare,:,5,True,False,False,False,0,21,25,87
Cyprus,Bisexual women,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very rare,:,5,True,False,False,False,0,21,53,88
Cyprus,Bisexual women,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Don`t know,:,5,True,False,False,False,0,21,23,89
Cyprus,Bisexual men,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very widespread,:,5,False,False,False,False,0,21,54,90
Cyprus,Bisexual men,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly widespread,:,5,False,False,False,False,0,21,26,91
Cyprus,Bisexual men,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly rare,:,5,False,False,False,False,0,21,25,92
Cyprus,Bisexual men,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very rare,:,5,False,False,False,False,0,21,53,93
Cyprus,Bisexual men,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Don`t know,:,5,False,False,False,False,0,21,23,94
Cyprus,Transgender,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very widespread,36,5,False,False,False,True,0,21,54,95
Cyprus,Transgender,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly widespread,24,5,False,False,False,True,0,21,26,96
Cyprus,Transgender,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly rare,24,5,False,False,False,True,0,21,25,97
Cyprus,Transgender,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very rare,8,5,False,False,False,True,0,21,53,98
Cyprus,Transgender,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Don`t know,8,5,False,False,False,True,0,21,23,99
Czech Republic,Lesbian,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very widespread,6,6,False,False,True,False,0,21,54,100
Czech Republic,Lesbian,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly widespread,32,6,False,False,True,False,0,21,26,101
Czech Republic,Lesbian,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly rare,46,6,False,False,True,False,0,21,25,102
Czech Republic,Lesbian,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very rare,13,6,False,False,True,False,0,21,53,103
Czech Republic,Lesbian,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Don`t know,3,6,False,False,True,False,0,21,23,104
Czech Republic,Gay,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very widespread,2,6,False,True,False,False,0,21,54,105
Czech Republic,Gay,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly widespread,19,6,False,True,False,False,0,21,26,106
Czech Republic,Gay,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly rare,49,6,False,True,False,False,0,21,25,107
Czech Republic,Gay,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very rare,27,6,False,True,False,False,0,21,53,108
Czech Republic,Gay,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Don`t know,3,6,False,True,False,False,0,21,23,109
Czech Republic,Bisexual women,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very widespread,4,6,True,False,False,False,0,21,54,110
Czech Republic,Bisexual women,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly widespread,27,6,True,False,False,False,0,21,26,111
Czech Republic,Bisexual women,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly rare,48,6,True,False,False,False,0,21,25,112
Czech Republic,Bisexual women,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very rare,14,6,True,False,False,False,0,21,53,113
Czech Republic,Bisexual women,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Don`t know,7,6,True,False,False,False,0,21,23,114
Czech Republic,Bisexual men,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very widespread,4,6,False,False,False,False,0,21,54,115
Czech Republic,Bisexual men,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly widespread,19,6,False,False,False,False,0,21,26,116
Czech Republic,Bisexual men,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly rare,48,6,False,False,False,False,0,21,25,117
Czech Republic,Bisexual men,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very rare,28,6,False,False,False,False,0,21,53,118
Czech Republic,Bisexual men,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Don`t know,1,6,False,False,False,False,0,21,23,119
Czech Republic,Transgender,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very widespread,6,6,False,False,False,True,0,21,54,120
Czech Republic,Transgender,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly widespread,31,6,False,False,False,True,0,21,26,121
Czech Republic,Transgender,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly rare,37,6,False,False,False,True,0,21,25,122
Czech Republic,Transgender,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very rare,19,6,False,False,False,True,0,21,53,123
Czech Republic,Transgender,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Don`t know,6,6,False,False,False,True,0,21,23,124
Germany,Lesbian,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very widespread,2,11,False,False,True,False,0,21,54,125
